Year,Region,Household Type,Measure,Value,Flags
"2017","Northland Region","Couple with one dependent child","Number of households (000)",3.9,
"2018","Northland Region","Couple with one dependent child","Number of households (000)",4,
"1998","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",807,
"1999","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",756,
"2000","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",767,
"2001","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",786,
"2002","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",860,
"2003","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1061,
"2004","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",921,
"2005","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",959,
"2006","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1189,
"2007","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1247,
"2008","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1247,
"2009","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1305,
"2010","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1247,
"2011","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1381,
"2012","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1343,
"2013","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1438,
"2014","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1600,
"2015","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1456,
"2016","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1534,
"2017","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1749,
"2018","Auckland Region","Couple with one dependent child","Median Wage and Salary Income",1773,
"1998","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"1999","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2000","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2001","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2002","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2003","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2004","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2005","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2006","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2007","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2008","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2009","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2010","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2011","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2012","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2013","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2014","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2015","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2016","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2017","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"2018","Auckland Region","Couple with one dependent child","Median Self-employment Income",0,
"1998","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"1999","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2000","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2001","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2002","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2003","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2004","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2005","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2006","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2007","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2008","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2009","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2010","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2011","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2012","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2013","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2014","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2015","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2016","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2017","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"2018","Auckland Region","Couple with one dependent child","Median Government Transfer Income",0,
"1998","Auckland Region","Couple with one dependent child","Number of households (000)",30.5,
"1999","Auckland Region","Couple with one dependent child","Number of households (000)",30.4,
"2000","Auckland Region","Couple with one dependent child","Number of households (000)",29,
"2001","Auckland Region","Couple with one dependent child","Number of households (000)",34.2,
"2002","Auckland Region","Couple with one dependent child","Number of households (000)",30.4,
"2003","Auckland Region","Couple with one dependent child","Number of households (000)",32.1,
"2004","Auckland Region","Couple with one dependent child","Number of households (000)",37.8,
"2005","Auckland Region","Couple with one dependent child","Number of households (000)",41.8,
"2006","Auckland Region","Couple with one dependent child","Number of households (000)",39.8,
"2007","Auckland Region","Couple with one dependent child","Number of households (000)",42.1,
"2008","Auckland Region","Couple with one dependent child","Number of households (000)",36.7,
"2009","Auckland Region","Couple with one dependent child","Number of households (000)",38.3,
"2010","Auckland Region","Couple with one dependent child","Number of households (000)",39.6,
"2011","Auckland Region","Couple with one dependent child","Number of households (000)",43.9,
"2012","Auckland Region","Couple with one dependent child","Number of households (000)",38.9,
"2013","Auckland Region","Couple with one dependent child","Number of households (000)",37.2,
"2014","Auckland Region","Couple with one dependent child","Number of households (000)",36.7,
"2015","Auckland Region","Couple with one dependent child","Number of households (000)",43.9,
"2016","Auckland Region","Couple with one dependent child","Number of households (000)",43.5,
"2017","Auckland Region","Couple with one dependent child","Number of households (000)",44,
"2018","Auckland Region","Couple with one dependent child","Number of households (000)",45.2,
"1998","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",604,
"1999","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",548,
"2000","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",640,
"2001","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",720,
"2002","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",813,
"2003","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",824,
"2004","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",882,
"2005","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",903,
"2006","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",930,
"2007","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",985,
"2008","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",990,
"2009","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1036,
"2010","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1372,
"2011","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1151,
"2012","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",959,
"2013","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",959,
"2014","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1250,
"2015","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1293,
"2016","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1310,
"2017","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1290,
"2018","Waikato Region","Couple with one dependent child","Median Wage and Salary Income",1583,
"1998","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"1999","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2000","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2001","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2002","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2003","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2004","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2005","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2006","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2007","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2008","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2009","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2010","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2011","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2012","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2013","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2014","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2015","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2016","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2017","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"2018","Waikato Region","Couple with one dependent child","Median Self-employment Income",0,
"1998","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"1999","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2000","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2001","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2002","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2003","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2004","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2005","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2006","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2007","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2008","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2009","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2010","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2011","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2012","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2013","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2014","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2015","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2016","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2017","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"2018","Waikato Region","Couple with one dependent child","Median Government Transfer Income",0,
"1998","Waikato Region","Couple with one dependent child","Number of households (000)",6.5,
"1999","Waikato Region","Couple with one dependent child","Number of households (000)",10,
"2000","Waikato Region","Couple with one dependent child","Number of households (000)",8.9,
"2001","Waikato Region","Couple with one dependent child","Number of households (000)",10,
"2002","Waikato Region","Couple with one dependent child","Number of households (000)",10.3,
"2003","Waikato Region","Couple with one dependent child","Number of households (000)",8.2,
"2004","Waikato Region","Couple with one dependent child","Number of households (000)",8.3,
"2005","Waikato Region","Couple with one dependent child","Number of households (000)",11,
"2006","Waikato Region","Couple with one dependent child","Number of households (000)",12.3,
"2007","Waikato Region","Couple with one dependent child","Number of households (000)",9.9,
"2008","Waikato Region","Couple with one dependent child","Number of households (000)",9.8,
"2009","Waikato Region","Couple with one dependent child","Number of households (000)",10.2,
"2010","Waikato Region","Couple with one dependent child","Number of households (000)",9.5,
"2011","Waikato Region","Couple with one dependent child","Number of households (000)",11.6,
"2012","Waikato Region","Couple with one dependent child","Number of households (000)",10.2,
"2013","Waikato Region","Couple with one dependent child","Number of households (000)",7.8,
"2014","Waikato Region","Couple with one dependent child","Number of households (000)",9.7,
"2015","Waikato Region","Couple with one dependent child","Number of households (000)",11,
"2016","Waikato Region","Couple with one dependent child","Number of households (000)",14.1,
"2017","Waikato Region","Couple with one dependent child","Number of households (000)",11.9,
"2018","Waikato Region","Couple with one dependent child","Number of households (000)",10.6,
"1998","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",560,
"1999","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",620,
"2000","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",613,
"2001","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",665,
"2002","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",710,
"2003","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",740,
"2004","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",708,
"2005","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",863,
"2006","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1085,
"2007","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1105,
"2008","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1200,
"2009","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1055,
"2010","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1120,
"2011","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1074,
"2012","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",975,
"2013","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1485,
"2014","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1175,
"2015","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1327,
"2016","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1343,
"2017","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1394,
"2018","Bay of Plenty Region","Couple with one dependent child","Median Wage and Salary Income",1304,
"1998","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"1999","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2000","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2001","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2002","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2003","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2004","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2005","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2006","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2007","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2008","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2009","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2010","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2011","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2012","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2013","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2014","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2015","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2016","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2017","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"2018","Bay of Plenty Region","Couple with one dependent child","Median Self-employment Income",0,
"1998","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"1999","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2000","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2001","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2002","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2003","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2004","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2005","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2006","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2007","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2008","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2009","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2010","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2011","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2012","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2013","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2014","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2015","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2016","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2017","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"2018","Bay of Plenty Region","Couple with one dependent child","Median Government Transfer Income",0,
"1998","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",5.2,
"1999","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7,
"2000","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",6.9,
"2001","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",6.7,
"2002","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",5.7,
"2003","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7.2,
"2004","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",6.2,
"2005","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",5.5,
"2006","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",5.7,
"2007","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7.3,
"2008","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",6.8,
"2009","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7.5,
"2010","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7.6,
"2011","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",8.7,
"2012","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",5.2,
"2013","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",6.3,
"2014","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7.1,
"2015","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",6,
"2016","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",7.1,
"2017","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",10.4,
"2018","Bay of Plenty Region","Couple with one dependent child","Number of households (000)",11.5,
"1998","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",540,
"1999","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",800,
"2000","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",578,
"2001","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",724,
"2002","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",864,
"2003","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",921,
"2004","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",948,
"2005","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",920,
"2006","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1193,
"2007","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1000,
"2008","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1143,
"2009","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1011,
"2010","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1026,
"2011","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1189,
"2012","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1174,
"2013","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1036,
"2014","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1438,
"2015","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1288,
"2016","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1248,
"2017","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1400,
"2018","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Wage and Salary Income",1288,
"1998","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2010","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2011","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2012","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Self-employment Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2010","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",36,
"2011","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2012","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Median Government Transfer Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.3,
"1999","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.6,
"2000","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.4,
"2001","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.4,
"2002","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.1,
"2003","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.3,
"2004","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",6.6,
"2005","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.4,
"2006","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.1,
"2007","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.5,
"2008","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.2,
"2009","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.8,
"2010","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5,
"2011","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.3,
"2012","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5,
"2013","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.4,
"2014","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.4,
"2015","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.5,
"2016","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.7,
"2017","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",4.3,
"2018","Gisborne/Hawkes Bay Regions","Couple with one dependent child","Number of households (000)",5.5,
"1998","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",562,
"1999","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",500,
"2000","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",560,
"2001","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",748,
"2002","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",655,
"2003","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",906,
"2004","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",799,
"2005","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",747,
"2006","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1223,
"2007","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1193,
"2008","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1227,
"2009","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1333,
"2010","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1200,
"2011","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1263,
"2012","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1151,
"2013","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1110,
"2014","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1060,
"2015","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1575,
"2016","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1440,
"2017","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1070,
"2018","Taranaki Region","Couple with one dependent child","Median Wage and Salary Income",1247,
"1998","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"1999","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2000","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2001","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
